English Term,Part of Speech,Spanish Term,Category,Subcategory,English Example,Spanish Example,Cross References,Notes
adjust,v.,ajustar,Rigging,General,Adjust the cord tension carefully to prevent contamination.,Ajusta la tensión de la cuerda con cuidado para prevenir la contaminación.,"rigging, tension",
aerial rig,n.,estructura aérea,Rigging,Equipment,Check all components of the aerial rig before assembly.,Revisa todos los componentes de la estructura aérea antes del montaje.,"See: spreader bar, load path",
alcohol wipe,n.,toallita con alcohol,Infection Control,General,Use an alcohol wipe to prepare skin for bandages.,Usa una toallita con alcohol para preparar la piel para los vendajes.,"skin preparation, disinfect",
alpine butterfly,n.,mariposa alpina,Rigging,Knots,The alpine butterfly creates an in-line anchor point.,La mariposa alpina crea un punto de anclaje en línea.,"See: knot, termination",
aseptic,adj.,aséptico,Infection Control,General,Aseptic procedures reduce the risk of infection.,Los procedimientos asépticos reducen el riesgo de infección.,"sterile, clean",
attach,v.,adjuntar,Infection Control,General,Attach the cord to the hooks using shackles.,Adjunta la cuerda a los ganchos usando grilletes.,"connect, secure",
bandage/plaster,n.,vendaje,Infection Control,General,Cover the wound with a bandage to protect it.,Cubre la herida con un vendaje para protegerla.,"wound treatment, clean assistant",
beam clamp,n.,abrazadera de viga,Rigging,Equipment,Install beam clamps with opposing openings.,Instala las abrazaderas de viga con aberturas opuestas.,See: gravlock,
belay,v.,asegurar,Rigging,General,The rigger belays the rope to ensure the suspendee is raised and lowered safely.,El instalador asegura la cuerda para garantizar que el suspendido se suba y baje de manera segura.,"descent device, harness",
belayer,n.,asegurador,Rigging,General,The belayer must remain attentive to the suspendee throughout the suspension.,El asegurador debe permanecer atento al suspendido durante toda la suspensión.,"belay, harness",
bio assistant,n.,asistente contaminado,Infection Control,General,The bio assistant handles contaminated items and individuals.,El asistente contaminado maneja artículos e individuos contaminados.,"clean assistant, PPE",
biohazard container,n.,contenedor de residuos biológicos,Infection Control,General,Place contaminated hooks in a biohazard container.,Coloca los ganchos contaminados en un contenedor de residuos biológicos.,"contaminated waste, hook processing",
blood,n.,sangre,Infection Control,General,Wipe away any visible blood from the suspendee carefully.,Limpia cuidadosamente cualquier sangre visible del suspendido.,"wound, clean",
bloodborne pathogen,adj.,patógeno transmitido por sangre,Infection Control,General,Hygiene standards are necessary to prevent bloodborne pathogen transmission.,Los estándares de higiene son necesarios para prevenir la transmisión de patógenos transmitidos por sangre.,"PPE, infection",
breakdown,n.,desmontaje,Infection Control,General,The breakdown process involves removing all contaminated waste.,El proceso de desmontaje incluye la eliminación de todos los desechos contaminados.,"dispose, clean",
butane torch,n.,soplete de butano,Rigging,Tools,A butane torch should be on hand to seal cord ends during suspension.,Debe haber un soplete de butano disponible para sellar los extremos del cordón durante la suspensión.,"safety shears, termination",
check,v.,revisar,Infection Control,General,Check that the face mask fits snugly before beginning.,Revisa que la mascarilla ajuste bien antes de comenzar.,"inspect, verify",
clean,v.,limpiar,Infection Control,General,Clean the skin with an appropriate disinfectant.,Limpia la piel con un desinfectante adecuado.,"disinfect, prepare",
clean,adj.,limpio,Infection Control,General,Ensure all equipment is clean before use.,Asegúrate de que todo el equipo esté limpio antes de usarlo.,"sterile, disinfected",
clean assistant,n.,asistente limpio,Infection Control,General,The clean assistant handles supplies with clean gloved hands only.,El asistente limpio maneja los suministros solo con guantes limpios.,"bio assistant, sterile gloves",
climbing helmet,n.,casco de escalada,Rigging,PPE,A climbing helmet must be worn when working at height.,Se debe usar un casco de escalada al trabajar en altura.,"harness, rigger",
clove hitch,n.,cote,Rigging,Knots,The clove hitch must be backed up to avoid slipping.,El cote debe tener respaldo para evitar deslizamiento.,"See: half hitch, knot",
connector,n.,conector,Rigging,Equipment,Choose appropriate connectors based on load requirements.,Elige los conectores apropiados según los requisitos de carga.,"See: carabiner, maillon",
contaminated,adj.,contaminado,Infection Control,General,Dispose of all contaminated items properly.,Elimina todos los artículos contaminados de forma adecuada.,"dirty, bio assistant",
cord,n.,cuerda,Infection Control,General,Dispose of contaminated cord after use.,Elimina la cuerda contaminada después de usarla.,"contaminated waste bin, rigging",Cuerda refers to both rig line and main line.
descent device,n.,dispositivo de descenso,Rigging,General,Use a suitable descent device for controlled lowering.,Usa un dispositivo de descenso adecuado para bajar de manera controlada.,"belay, dynamic load",
disinfect,v.,desinfectar,Infection Control,General,Disinfect the rig after removing all contaminated components.,Desinfecta el equipo después de retirar todos los componentes contaminados.,"clean, wipe",
disinfectant wipe,n.,toallita desinfectante,Infection Control,General,Use a disinfectant wipe to clean the rig after use.,Usa una toallita desinfectante para limpiar el equipo después de usarlo.,"clean, hardware",
disposable,adj.,desechable,Infection Control,General,Plastic aprons and gloves must be disposable.,Los delantales y guantes plásticos deben ser desechables.,"single-use, sterile",
dispose,v.,eliminar,Infection Control,General,Dispose of contaminated gloves in the waste bin.,Elimina los guantes contaminados en el contenedor de basura.,"remove, discard",
dry,v.,secar,Infection Control,General,Allow the ink to dry before proceeding with piercing.,Deja que la tinta se seque antes de proceder con la perforación.,"wait, prepare",
dynamic load,n.,carga dinámica,Rigging,General,Dynamic loads can exceed static loads significantly.,Las cargas dinámicas pueden exceder significativamente las cargas estáticas.,"See: static load, peak load",
enzymatic gel,n.,gel enzimático,Infection Control,General,Use enzymatic gel to keep organic matter from drying on hooks.,Usa gel enzimático para evitar que la materia orgánica se seque en los ganchos.,"hook processing, clean assistant",
facemask,n.,mascarilla,Infection Control,PPE,Ensure your facemask is clean and properly fitted.,Asegúrate de que tu mascarilla esté limpia y bien ajustada.,"PPE, eyewear",
figure 8 follow through,n.,nudo de ocho reanudado,Rigging,Knots,Use a figure 8 follow through for heavier dynamic loads.,Usa un nudo de ocho reanudado para cargas dinámicas más pesadas.,"See: termination, knot",
fisherman's knot,n.,nudo de pescador,Rigging,Knots,The double fisherman's can be used as a barrel knot.,El pescador doble puede usarse como nudo de barril.,"See: knot, termination",
gauze,n.,gasa,Infection Control,General,Use sterile gauze for skin cleaning and post-suspension care.,Usa gasa estéril para limpiar la piel y el cuidado post-suspensión.,"sterile drape, skin preparation",
gear inspection,n.,inspección del equipo,Maintenance,General,"Gear inspection must be carried out before, during, and after use.","La inspección del equipo debe realizarse antes, durante y después de su uso.","round sling, maillon rapides",
gloves (exam gloves),n.,guantes de examen,Infection Control,PPE,Exam gloves are single-use and disposable.,Los guantes de examen son de un solo uso y desechables.,"sterile gloves, skin preparation",
half hitch,n.,medio cote,Rigging,Knots,Use half hitches to lock other knots in place.,Usa medios cotes para asegurar otros nudos en su lugar.,See: clove hitch,
hand washing,n.,lavado de manos,Infection Control,General,Hand washing is required before and after handling individuals.,El lavado de manos es obligatorio antes y después de manejar a las personas.,"WHO guidelines, infection",
handle,v.,manipular,Infection Control,General,Handle all supplies with clean or gloved hands.,Manipula todos los suministros con manos limpias o con guantes.,"use, carry",
hook,n.,gancho,Rigging,Equipment,Select hooks based on the type of suspension.,Selecciona los ganchos según el tipo de suspensión.,See: hardware,
inspect,v.,inspeccionar,Infection Control,General,Inspect all supplies for damage or contamination.,Inspecciona todos los suministros por daños o contaminación.,"check, examine",
ladder,n.,escalera,Rigging,Equipment,Secure the ladder at top and bottom before climbing.,Asegura la escalera en la parte superior e inferior antes de subir.,See: beam clamp,
load path,n.,línea de carga,Rigging,General,All elements in the load path must be inspected.,Todos los elementos en la línea de carga deben ser inspeccionados.,See: load bearing hardware,
lubricant,n.,lubricante,Piercing,General,Apply lubricant to the needle before insertion.,Aplica lubricante a la aguja antes de la inserción.,"piercing, clean",
mainline,n.,línea principal,Rigging,General,The mainline rope should be semi-static or low-stretch.,La línea principal debe ser semi-estática o de baja elongación.,"See: cord, rope",
marker,n.,marcador,Piercing,General,Use a sterile marker for marking hook placement.,Usa un marcador estéril para marcar la colocación del gancho.,"skin preparation, piercing",
massage table,n.,mesa de masaje,Infection Control,General,The clean assistant must avoid contact with the dirty massage table.,El asistente limpio debe evitar el contacto con la mesa de masaje contaminada.,bio assistant,
mechanical advantage (MA),n.,ventaja mecánica,Rigging,General,The pulley system provides mechanical advantage.,El sistema de poleas proporciona ventaja mecánica.,See: pulley system,
minimum breaking strength (MBS),n.,resistencia mínima a la rotura,Rigging,General,The MBS must be verified for all equipment.,La resistencia mínima a la rotura debe ser verificada para todo el equipo.,"See: WLL, factor of safety",
needle,n.,aguja,Piercing,General,Insert the hook into the needle end before piercing.,Inserta el gancho en el extremo de la aguja antes de perforar.,"piercing, sterile",
OPIM,n.,otros materiales infecciosos potenciales,Infection Control,General,Hooks must be wiped free of blood and OPIM before sterilization.,Los ganchos deben limpiarse de sangre y OPIM antes de esterilizarlos.,"blood, hook processing",
personal protective equipment (PPE),n.,equipo de protección personal (EPP),Infection Control,PPE,All workers must use appropriate personal protective equipment.,Todos los trabajadores deben usar equipo de protección personal adecuado.,"sterile gloves, facemask",
piercer,n.,perforador,Piercing,General,The piercer is responsible for the aseptic piercing of individuals.,El perforador es responsable de la perforación aséptica de los individuos.,"Piercing, sterile gloves",
plastic apron,n.,delantal plástico,Infection Control,PPE,Plastic aprons are single-use and protect against contamination.,Los delantales plásticos son de un solo uso y protegen contra la contaminación.,"PPE, plastic sleeves",
plastic sleeves,n.,mangas plásticas,Infection Control,PPE,Plastic sleeves protect the arms from contamination.,Las mangas plásticas protegen los brazos de la contaminación.,"PPE, plastic apron",
prepare,v.,preparar,Infection Control,General,Prepare the area with sterile gauze and skin cleaner.,Prepara el área con gasa estéril y limpiador de piel.,"setup, cleanse",
pulley,n.,polea,Rigging,Equipment,Marine style pulleys offer high strength to weight ratio.,Las poleas estilo marino ofrecen una alta relación resistencia-peso.,See: mechanical advantage,
put on (e.g. gloves),v.,ponerse,Infection Control,General,Don gloves and apron sleeves before handling supplies.,Ponte guantes y mangas del delantal antes de manejar suministros.,"PPE, preparation",
remove,v.,quitar,Infection Control,General,Remove gloves carefully to avoid contamination.,Quita los guantes con cuidado para evitar la contaminación.,"dispose, don",
rig plate,n.,placa de anclaje,Rigging,Equipment,Aluminum climbing rig plates are rated for human load.,Las placas de anclaje de aluminio para escalada están clasificadas para carga humana.,See: hardware,
rigger,n.,aparejador,Rigging,General,The rigger must inspect all equipment before setup.,El aparejador debe inspeccionar todo el equipo antes de la instalación.,See: competent person,
rigger’s gloves,n.,guantes de aparejador,Rigging,PPE,Rigger’s gloves should be worn to ensure hand safety.,Se deben usar guantes de aparejador para garantizar la seguridad de las manos.,"harness, belayer",
round sling,n.,eslinga redonda,Rigging,Equipment,Check the round sling's rating before use.,Verifica la clasificación de la eslinga redonda antes de usar.,See: sewn runner,
safety factor,n.,factor de seguridad,Rigging,General,Maintain a factor of safety of 10 for all suspensions.,Mantener un factor de seguridad de 10 para todas las suspensiones.,"See: WLL, MBS",
saline wipe,n.,toallita de solución salina,Infection Control,General,Use saline wipes to clean wounds.,Usa toallitas de solución salina para limpiar heridas.,"wound cleaning, bio assistant",
scissors,n.,tijeras,Infection Control,General,Scissors are considered contaminated if in contact with used cord.,Las tijeras se consideran contaminadas si entran en contacto con cuerda usada.,"hardware, clean",
secure,v.,asegurar,Infection Control,General,Secure all tools in a sterile environment.,Asegura todas las herramientas en un entorno estéril.,"fasten, check",
sewn runner,n.,cinta cosida,Rigging,Equipment,Sewn runners are more compact than round slings.,Las cintas cosidas son más compactas que las eslingas redondas.,See: round sling,
shackle,n.,grillete,Infection Control,General,Use a shackle to attach the line to the hook.,Usa un grillete para unir la cuerda al gancho.,"rigging, hardware",
sharps container,n.,contenedor de objetos punzocortantes,Infection Control,General,Dispose of used needles in a designated sharps container.,Elimina las agujas usadas en un contenedor de objetos punzocortantes.,"dispose, needle",
single-use,adj.,de un solo uso,Infection Control,General,Exam gloves are single-use and must be disposed of after handling.,Los guantes de examen son de un solo uso y deben desecharse después de usarlos.,"disposable, sterile",
skin preparation,n.,preparación de la piel,Infection Control,General,Proper skin preparation ensures asepsis before piercing.,La preparación adecuada de la piel garantiza la asepsia antes de perforar.,"piercing, sterile gloves",
static load,n.,carga estática,Rigging,General,Calculate the static load before beginning the suspension.,Calcula la carga estática antes de comenzar la suspensión.,"See: dynamic load, peak load",
sterile,adj.,estéril,Infection Control,General,Use sterile gloves during piercing procedures.,Usa guantes estériles durante los procedimientos de perforación.,"clean, aseptic",
sterile field,n.,campo estéril,Infection Control,General,Peel open supplies onto a sterile field to prevent contamination.,Abre los suministros en un campo estéril para prevenir la contaminación.,"sterile drape, gloves",
surface,n.,superficie,Infection Control,General,Clean the surface of the table with disinfectant wipes.,Limpia la superficie de la mesa con toallitas desinfectantes.,"disinfect, wipe",
suture kit,n.,kit de sutura,Infection Control,General,Use the suture kit when stitching wounds.,Usa el kit de sutura al coser heridas.,"suturing protocol, sterile field",
swivel,n.,eslabón giratorio,Rigging,Equipment,Install a swivel to prevent line twist.,Instala un eslabón giratorio para prevenir la torsión de la línea.,See: hardware,
wash,v.,lavar,Infection Control,General,Wash your hands before donning gloves.,Lávate las manos antes de ponerte los guantes.,"disinfect, clean",
waste bin,n.,contenedor de residuos,Infection Control,General,Dispose of contaminated waste in the waste bin.,Elimina los residuos contaminados en el contenedor de residuos.,"contaminated waste, disposal",
water knot,n.,nudo de agua,Rigging,Knots,Use a water knot to create a continuous loop.,Usa un nudo de agua para crear un bucle continuo.,"See: knot, termination",
work tray,n.,bandeja de trabajo,Infection Control,General,Open sterile supplies on a clean work tray.,Abre suministros estériles en una bandeja de trabajo limpia.,"sterile field, setup",
working load limit (WLL),n.,límite de carga de trabajo,Rigging,General,Never exceed the working load limit of any component.,Nunca excedas el límite de carga de trabajo de ningún componente.,"See: MBS, factor of safety",